id,title,workstream,role,milestone,priority,state,review_tier,outcome,acceptance,negative_control,depends_on,proposed_owned_paths,proposed_integration_hooks,existing_packets_to_reconcile
VG-GOV-001,Freeze a reproducible baseline,GOV,Architect / producer,G0,P0,DRAFT,C,"Record actual branch heads, build commands and package hash in a baseline manifest","A second checkout resolves the same commits and reproduces the documented baseline result ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.","A mismatched commit or missing package is reported, not silently accepted",,docs/execution/decisions/freeze-a-reproducible-baseline.md,orchestration authority,
VG-GOV-002,Resolve orchestration precedence,GOV,Architect / producer,G0,P0,DRAFT,C,"Obtain one recorded ruling for conflicting push, review and claim policies","A policy table names the authoritative writer, target and approval for every state change ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Separate successful lane-branch pushes never count as exclusive claims,VG-GOV-001,docs/execution/decisions/resolve-orchestration-precedence.md,orchestration authority,
VG-GOV-003,Freeze the parity scorecard,GOV,Architect / producer,G0,P0,DRAFT,C,"Approve benchmark dimensions, reference captures and proposed pass thresholds","Every dimension has a journey, measurement and accountable approver ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A feature count alone cannot produce a parity pass,VG-GOV-001,docs/execution/decisions/freeze-the-parity-scorecard.md,orchestration authority,
VG-GOV-004,Crosswalk existing task packets,GOV,Architect / producer,G0,P0,DRAFT,C,"Map each planning ID to reuse, extend, verify or new against current task records","Existing TASK-0108 and Owner Demo work have explicit dispositions before new tasks are issued ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Two planning goals mapping to one implementation are flagged for reconciliation,VG-GOV-001,docs/execution/decisions/crosswalk-existing-task-packets.md,orchestration authority,TASK-0166 ; TASK-0205
VG-GOV-005,Choose the renderer trial boundary,GOV,Architect / producer,G0,P0,DRAFT,B,Approve one limited GPU proof and actor representation comparison,"Decision records platform targets, dependency approval, scene and stop criteria ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",No full-engine migration is authorized by a successful triangle demo,VG-GOV-003,docs/execution/decisions/choose-the-renderer-trial-boundary.md,orchestration authority,TASK-0114
VG-GOV-006,Rule on death and disconnect,GOV,Architect / producer,G0,P0,DRAFT,C,"Approve a state-transition table for mortality, quitting, connection loss and crashes","Every transition states carried-value, House-value and recovery consequences ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Disconnect cannot silently acknowledge uncommitted extraction,VG-GOV-003,docs/execution/decisions/rule-on-death-and-disconnect.md,orchestration authority,
VG-GOV-007,Approve bounded content budgets,GOV,Architect / producer,G0,P0,DRAFT,B,"Freeze slice quantities, candidate build examples and prohibited scope growth","Every approved content lot has a named owner and completion gate ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A new skill or biome without a budget replaces scope or stays deferred,VG-GOV-003,docs/execution/decisions/approve-bounded-content-budgets.md,orchestration authority,
VG-GOV-008,Audit dependency and path scheduling,GOV,Architect / producer,G0,P0,DRAFT,B,"Add a read-only validator for missing dependencies, cycles and path conflicts","Valid graph passes and intentional cycle, overlap and absent-ID fixtures fail ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Wildcard overlap and shared integration hooks are not treated as independent,VG-GOV-002 ; VG-GOV-004,docs/execution/decisions/audit-dependency-and-path-scheduling.md,orchestration authority,
VG-CORE-001,Characterize the two simulation paths,CORE,Core engineer,G1,P0,DRAFT,C,"Create equivalent movement, attack and extraction fixtures for both existing models","A report records matching behavior and approved divergence by fixture ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Tests do not force accidental browser behavior into the native contract,VG-GOV-001 ; VG-GOV-004,native/systems/core/characterize-the-two-simulation-paths.hpp ; native/tests/roadmap/core-001_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-002,Define typed identity and unit contracts,CORE,Core engineer,G1,P0,DRAFT,C,"Introduce agreed actor, item, instance, tick and duration boundary types","Invalid unit or identity substitution is caught at compile time or validation ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A millisecond value cannot be interpreted as a tick by magnitude,VG-GOV-001 ; VG-CORE-001,native/systems/core/define-typed-identity-and-unit-contracts.hpp ; native/tests/roadmap/core-002_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-003,Own simulation time explicitly,CORE,Core engineer,G1,P0,DRAFT,C,Separate queued commands from one fixed-step advancement call,"Extra aim or duplicate packets do not advance cooldowns or movement time ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Flooding harmless commands cannot speed up a character,VG-GOV-001 ; VG-CORE-002,native/src/core.cpp ; native/include/verdigris/core.hpp ; native/tests/roadmap/core-003_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-004,Extract account game-service state,CORE,Core engineer,G1,P0,DRAFT,C,Move one profile aggregate boundary out of transport without changing rules,"Local and remote adapters read the same typed profile-service interface ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Transport reducers cannot mutate the profile outside service commands,VG-GOV-001 ; VG-CORE-002 ; VG-SAVE-001,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/tests/roadmap/core-004_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-005,Version gameplay random streams,CORE,Core engineer,G1,P0,DRAFT,B,"Separate and record combat, loot and generation RNG streams","Rendering or audio changes leave authoritative reward results unchanged ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Consuming cosmetic randomness cannot alter the next loot roll,VG-GOV-001 ; VG-CORE-002,native/systems/core/version-gameplay-random-streams.hpp ; native/tests/roadmap/core-005_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-006,Freeze typed event envelopes,CORE,Core engineer,G1,P0,DRAFT,C,"Add event ID, simulation tick, instance ID and typed duration to the event contract","Consumer tests reject malformed duration and stale-instance events ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Reordered duplicate events cannot generate a second reward or death effect,VG-GOV-001 ; VG-CORE-002,native/systems/core/freeze-typed-event-envelopes.hpp ; native/tests/roadmap/core-006_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
